┌────────────────────┬──────────────────────────────┬──────────────────┐
│ fiscal_manager     │ fiscal.reports               │ read             │
│ fiscal_manager     │ fiscal.taxes                 │ read             │
│ fiscal_manager     │ people                       │ read             │
│ fiscal_manager     │ reports                      │ export           │
│ fiscal_manager     │ reports                      │ generate         │
│ fiscal_manager     │ reports                      │ read             │
│ it_admin           │ dashboard                    │ read             │
│ it_admin           │ documents                    │ create           │
│ it_admin           │ documents                    │ read             │
│ it_admin           │ files                        │ create           │
│ it_admin           │ files                        │ read             │
│ it_admin           │ files                        │ update           │
│ it_admin           │ files                        │ upload           │
│ it_admin           │ people                       │ create           │
│ it_admin           │ people                       │ read             │
│ it_admin           │ people                       │ update           │
│ it_admin           │ roles                        │ create           │
│ it_admin           │ roles                        │ read             │
│ it_admin           │ roles                        │ update           │
│ lawyer             │ contracts                    │ create           │
│ lawyer             │ contracts                    │ read             │
│ lawyer             │ contracts                    │ update           │
│ lawyer             │ dashboard                    │ read             │
│ lawyer             │ documents                    │ create           │
│ lawyer             │ documents                    │ read             │
│ lawyer             │ documents                    │ update           │
│ lawyer             │ documents                    │ version          │
│ lawyer             │ files                        │ read             │
│ lawyer             │ people                       │ read             │
│ operations_manager │ companies                    │ create           │
│ operations_manager │ companies                    │ read             │
│ operations_manager │ companies                    │ update           │
│ operations_manager │ contracts                    │ create           │
│ operations_manager │ contracts                    │ read             │
│ operations_manager │ contracts                    │ update           │
│ operations_manager │ dashboard                    │ read             │
│ operations_manager │ documents                    │ create           │
│ operations_manager │ documents                    │ read             │
│ operations_manager │ files                        │ read             │
│ operations_manager │ people                       │ create           │
│ operations_manager │ people                       │ read             │
│ operations_manager │ people                       │ update           │
│ operations_manager │ products                     │ create           │
│ operations_manager │ products                     │ read             │
│ operations_manager │ products                     │ update           │
│ operations_manager │ purchase_orders              │ create           │
│ operations_manager │ purchase_orders              │ read             │
│ operations_manager │ purchase_orders              │ update           │
│ operations_manager │ purchase_receipts            │ create           │
│ operations_manager │ purchase_receipts            │ read             │
│ operations_manager │ reports                      │ export           │
│ operations_manager │ reports                      │ generate         │
│ operations_manager │ reports                      │ read             │
│ operations_manager │ service_orders               │ complete         │
│ operations_manager │ service_orders               │ create           │
│ operations_manager │ service_orders               │ read             │
